input alg leaves trees k level t1 t2 t3 timeout errorInFile
150_leaves_21_trees_2_trees_2.txt Hybroscale 150 2 -150 0 9999 9999 9999 True False
150_leaves_21_trees_2_trees_3.txt Hybroscale 150 2 44 -1 1.68 4.557 0.164 False False
150_leaves_21_trees_2_trees_4.txt Hybroscale 150 2 -150 0 9999 9999 9999 True False
150_leaves_21_trees_2_trees_5.txt Hybroscale 150 2 43 -1 0.685 1.649 0.059 False False
150_leaves_21_trees_2_trees_6.txt Hybroscale 150 2 44 -1 32.696 76.959 1.525 False False
150_leaves_21_trees_2_trees_7.txt Hybroscale 150 2 37 -1 0.38 0.923 0.071 False False
150_leaves_21_trees_2_trees_8.txt Hybroscale 150 2 -150 0 144.314 475.952 2.505 False False
150_leaves_21_trees_2_trees_9.txt Hybroscale 150 2 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_1.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_10.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_2.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_3.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_4.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_5.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_6.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_7.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_8.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_3_trees_9.txt Hybroscale 150 3 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_1.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_10.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_2.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_3.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_4.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_5.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_6.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_7.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_8.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_4_trees_9.txt Hybroscale 150 4 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_1.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_10.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_2.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_3.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_4.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_5.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_6.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_7.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_8.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_5_trees_9.txt Hybroscale 150 5 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_1.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_10.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_2.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_3.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_4.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_5.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_6.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_7.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_8.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_6_trees_9.txt Hybroscale 150 6 -150 0 9999 9999 9999 True False
150_leaves_21_trees_7_trees_1.txt Hybroscale 150 7 -150 0 9999 9999 9999 True False
